ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size
1755683395974,2025-08-20T09:49:55.974000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,0.3200000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,34.9000000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3200000000,0.2300000000,4226.3300000000,0.0300000000
1755683396074,2025-08-20T09:49:56.074000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,2.1700000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,33.9000000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3200000000,0.2300000000,4226.3300000000,0.0300000000
1755683396174,2025-08-20T09:49:56.174000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,9.1700000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,33.9300000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000
1755683396273,2025-08-20T09:49:56.273000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,9.1700000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,35.1300000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000
1755683396373,2025-08-20T09:49:56.373000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,9.1700000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,35.1300000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000
1755683396573,2025-08-20T09:49:56.573000+00:00,bybit,ETH/USDT:USDT,L2,,4226.2400000000,4226.2500000000,4226.2400000000,9.1700000000,4226.2200000000,0.0200000000,4226.1800000000,0.0200000000,4226.1700000000,0.0100000000,4226.0700000000,0.0600000000,4226.2500000000,35.1300000000,4226.2900000000,0.0200000000,4226.3000000000,3.6400000000,4226.3300000000,0.0300000000,4226.3500000000,0.4800000000
1755683396878,2025-08-20T09:49:56.878000+00:00,bybit,ETH/USDT:USDT,L2,,4225.5100000000,4225.5200000000,4225.5100000000,9.4700000000,4225.2500000000,6.4900000000,4225.2000000000,0.0100000000,4225.1500000000,0.1800000000,4225.0600000000,0.0100000000,4225.5200000000,18.1700000000,4225.5800000000,23.4000000000,4225.6000000000,1.2700000000,4225.6400000000,8.6700000000,4225.6600000000,32.6500000000
1755683397176,2025-08-20T09:49:57.176000+00:00,bybit,ETH/USDT:USDT,L2,,4225.2000000000,4225.2100000000,4225.2000000000,9.4800000000,4225.0500000000,0.0200000000,4225.0000000000,0.0100000000,4224.9200000000,7.8300000000,4224.8900000000,0.0200000000,4225.2100000000,81.8800000000,4225.2800000000,16.0200000000,4225.3000000000,4.7700000000,4225.3100000000,16.0000000000,4225.3200000000,0.0200000000
1755683397576,2025-08-20T09:49:57.576000+00:00,bybit,ETH/USDT:USDT,L2,,4224.6600000000,4224.6700000000,4224.6600000000,0.1000000000,4224.6400000000,0.0100000000,4224.6100000000,0.0100000000,4224.5200000000,7.0900000000,4224.4700000000,0.0200000000,4224.6700000000,47.3700000000,4224.6800000000,16.0200000000,4224.7000000000,17.2700000000,4224.7300000000,16.0200000000,4224.7600000000,3.5000000000
1755683397873,2025-08-20T09:49:57.873000+00:00,bybit,ETH/USDT:USDT,L2,,4224.6600000000,4224.6700000000,4224.6600000000,0.1000000000,4224.6400000000,0.0100000000,4224.6100000000,0.0100000000,4224.5100000000,0.4800000000,4224.4700000000,0.0200000000,4224.6700000000,33.3700000000,4224.6800000000,0.0200000000,4224.7000000000,17.2700000000,4224.7300000000,16.0200000000,4224.7600000000,19.5000000000
1755683398173,2025-08-20T09:49:58.173000+00:00,bybit,ETH/USDT:USDT,L2,,4224.5100000000,4224.5200000000,4224.5100000000,18.5100000000,4224.4900000000,3.6100000000,4224.4800000000,4.7300000000,4224.4700000000,0.0200000000,4224.4600000000,7.0900000000,4224.5200000000,31.0100000000,4224.5600000000,0.0200000000,4224.6000000000,1.2900000000,4224.6400000000,0.0200000000,4224.6700000000,3.6100000000
1755683398573,2025-08-20T09:49:58.573000+00:00,bybit,ETH/USDT:USDT,L2,,4224.5100000000,4224.5200000000,4224.5100000000,41.5800000000,4224.5000000000,1.2700000000,4224.4900000000,3.5500000000,4224.4800000000,4.7300000000,4224.4700000000,0.0200000000,4224.5200000000,9.1900000000,4224.5600000000,0.0200000000,4224.6000000000,0.0200000000,4224.6400000000,0.0200000000,4224.6700000000,2.7600000000
