ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size,spread,mid,relative_spread_bps,microprice,microprice_imbalance_bps,imbalance_l1,imbalance_k,notional_bid_k,notional_ask_k,rv_window,rv,ofi_l1
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,6.9900000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,33.2200000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642852228,-0.0016560854,0.4285222777,0.5119113573,159520.4054000000,152098.3569000000,20,,0.0000000000
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,6.9900000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,33.2200000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642852228,-0.0016560854,0.4285222777,0.5119113573,159520.4054000000,152098.3569000000,20,,0.0000000000
1755855168501,2025-08-22T09:32:48.501000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,6.9900000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,33.2200000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642852228,-0.0016560854,0.4285222777,0.5119113573,159520.4054000000,152098.3569000000,20,,0.0000000000
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9800000000,6.9500000000,4315.9200000000,2.7200000000,4316.0700000000,33.7900000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1900000000,1.1700000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642436116,-0.0017524954,0.4243611584,0.4974152786,149507.3784000000,151062.5926000000,20,,0.0000000000
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9800000000,6.9500000000,4315.9200000000,2.7200000000,4316.0700000000,33.7900000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1900000000,1.1700000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642436116,-0.0017524954,0.4243611584,0.4974152786,149507.3784000000,151062.5926000000,20,,0.0000000000
1755855168801,2025-08-22T09:32:48.801000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9800000000,6.9500000000,4315.9200000000,2.7200000000,4316.0700000000,33.7900000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1900000000,1.1700000000,0.0100000000,4316.0650000000,0.0231692525,4316.0642436116,-0.0017524954,0.4243611584,0.4974152786,149507.3784000000,151062.5926000000,20,,0.0000000000
1755855169101,2025-08-22T09:32:49.101000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,24.9100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,34.9700000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1900000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0641599866,-0.0019462482,0.4159986640,0.4614083641,129524.2054000000,151191.9367000000,20,,0.0000000000
1755855169401,2025-08-22T09:32:49.401000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,23.6000000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,9.2700000000,4316.0700000000,33.9600000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1800000000,1.1500000000,0.0100000000,4316.0650000000,0.0231692525,4316.0641000695,-0.0020850717,0.4100069493,0.5035310734,153865.6718000000,151709.9892000000,20,,0.0000000000
1755855169401,2025-08-22T09:32:49.401000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,23.6000000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,9.2700000000,4316.0700000000,33.9600000000,4316.0900000000,0.0100000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,4316.1800000000,1.1500000000,0.0100000000,4316.0650000000,0.0231692525,4316.0641000695,-0.0020850717,0.4100069493,0.5035310734,153865.6718000000,151709.9892000000,20,,0.0000000000
1755855169701,2025-08-22T09:32:49.701000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,8.2200000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,38.5900000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0617560350,-0.0075160244,0.1756035035,0.2119033353,45793.0208000000,170312.1493000000,20,,0.0000000000
1755855170001,2025-08-22T09:32:50.001000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,4.7200000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9800000000,0.0200000000,4315.9200000000,0.0100000000,4316.0700000000,41.6000000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0610189983,-0.0092236834,0.1018998273,0.1017343486,20760.2424000000,183303.5200000000,20,0.0000000000,0.0000000000
1755855170001,2025-08-22T09:32:50.001000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,4.7200000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9800000000,0.0200000000,4315.9200000000,0.0100000000,4316.0700000000,41.6000000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000,0.0100000000,4316.0650000000,0.0231692525,4316.0610189983,-0.0092236834,0.1018998273,0.1017343486,20760.2424000000,183303.5200000000,20,0.0000000000,0.0000000000
1755855170301,2025-08-22T09:32:50.301000+00:00,bybit,ETH/USDT:USDT,L2,,4315.8800000000,4315.8900000000,4315.8800000000,20.6600000000,4315.8200000000,6.9200000000,4315.7700000000,10.0400000000,4315.7600000000,32.4000000000,4315.7500000000,1.0300000000,4315.8900000000,10.0800000000,4315.9000000000,0.8300000000,4315.9300000000,0.0200000000,4315.9700000000,0.0200000000,4316.0000000000,0.8500000000,0.0100000000,4315.8850000000,0.0231702189,4315.8867208848,0.0039873278,0.6720884841,0.8575739288,306637.7325000000,50927.6062000000,20,0.0000000017,-36.2400000000
1755855170601,2025-08-22T09:32:50.601000+00:00,bybit,ETH/USDT:USDT,L2,,4315.8800000000,4315.8900000000,4315.8800000000,28.8800000000,4315.8200000000,6.8900000000,4315.7700000000,10.0400000000,4315.7600000000,32.4000000000,4315.7500000000,1.0300000000,4315.8900000000,12.1500000000,4315.9000000000,0.8300000000,4315.9200000000,1.1500000000,4315.9300000000,0.0200000000,4315.9700000000,0.0200000000,0.0100000000,4315.8850000000,0.0231702189,4315.8870387521,0.0047238333,0.7038752133,0.8483031795,341984.7915000000,61156.2065000000,20,0.0000000017,0.0000000000
1755855170601,2025-08-22T09:32:50.601000+00:00,bybit,ETH/USDT:USDT,L2,,4315.8800000000,4315.8900000000,4315.8800000000,28.8800000000,4315.8200000000,6.8900000000,4315.7700000000,10.0400000000,4315.7600000000,32.4000000000,4315.7500000000,1.0300000000,4315.8900000000,12.1500000000,4315.9000000000,0.8300000000,4315.9200000000,1.1500000000,4315.9300000000,0.0200000000,4315.9700000000,0.0200000000,0.0100000000,4315.8850000000,0.0231702189,4315.8870387521,0.0047238333,0.7038752133,0.8483031795,341984.7915000000,61156.2065000000,20,0.0000000017,0.0000000000
1755855170901,2025-08-22T09:32:50.901000+00:00,bybit,ETH/USDT:USDT,L2,,4315.8800000000,4315.8900000000,4315.8800000000,23.4700000000,4315.8200000000,6.8900000000,4315.7700000000,10.0400000000,4315.7600000000,32.4000000000,4315.7500000000,1.0300000000,4315.8900000000,26.1900000000,4315.9300000000,0.0200000000,4315.9700000000,0.0200000000,4315.9900000000,1.1500000000,4316.0000000000,0.8500000000,0.0100000000,4315.8850000000,0.0231702189,4315.8847261377,-0.0006345449,0.4726137737,0.7233980012,318635.8807000000,121837.7856000000,20,0.0000000017,0.0000000000
